timestep_4,region_4,technology_3,parameter,value
hh0014,83NO,heatpumpAirSpace,effConv,4.06
hh0015,83NO,heatpumpAirSpace,effConv,4.06
hh0016,83NO,heatpumpAirSpace,effConv,4.06
hh0017,83NO,heatpumpAirSpace,effConv,4.029406867
hh0018,83NO,heatpumpAirSpace,effConv,4.008256869
hh0019,83NO,heatpumpAirSpace,effConv,3.835534634
hh0020,83NO,heatpumpAirSpace,effConv,3.743762371
hh0021,83NO,heatpumpAirSpace,effConv,3.453525056
hh0022,83NO,heatpumpAirSpace,effConv,3.557619678
hh0023,83NO,heatpumpAirSpace,effConv,2.45
hh0024,83NO,heatpumpAirSpace,effConv,3.164584323
hh0001,84NO,heatpumpAirSpace,effConv,2.854470115
hh0002,84NO,heatpumpAirSpace,effConv,3.534841849
hh0003,84NO,heatpumpAirSpace,effConv,3.451613652
hh0004,84NO,heatpumpAirSpace,effConv,3.649714008
hh0005,84NO,heatpumpAirSpace,effConv,3.738438379
hh0006,84NO,heatpumpAirSpace,effConv,3.498938616
hh0007,84NO,heatpumpAirSpace,effConv,3.658100518
hh0008,84NO,heatpumpAirSpace,effConv,3.874220385
hh0009,84NO,heatpumpAirSpace,effConv,4.046387673
hh0010,84NO,heatpumpAirSpace,effConv,4.06
hh0011,84NO,heatpumpAirSpace,effConv,4.06
hh0012,84NO,heatpumpAirSpace,effConv,4.06
hh0013,84NO,heatpumpAirSpace,effConv,4.06
hh0014,84NO,heatpumpAirSpace,effConv,4.06
hh0015,84NO,heatpumpAirSpace,effConv,4.06
hh0016,84NO,heatpumpAirSpace,effConv,4.06
hh0017,84NO,heatpumpAirSpace,effConv,4.029406867
hh0018,84NO,heatpumpAirSpace,effConv,4.008256869
hh0019,84NO,heatpumpAirSpace,effConv,3.835534634
hh0020,84NO,heatpumpAirSpace,effConv,3.743762371
hh0021,84NO,heatpumpAirSpace,effConv,3.453525056
hh0022,84NO,heatpumpAirSpace,effConv,3.557619678
hh0023,84NO,heatpumpAirSpace,effConv,2.45
hh0024,84NO,heatpumpAirSpace,effConv,3.164584323
hh0001,85NO,heatpumpAirSpace,effConv,2.854470115
hh0002,85NO,heatpumpAirSpace,effConv,3.534841849
hh0003,85NO,heatpumpAirSpace,effConv,3.451613652
hh0004,85NO,heatpumpAirSpace,effConv,3.649714008
hh0005,85NO,heatpumpAirSpace,effConv,3.738438379
