iteration,crudeOil,HVC,CHP,LTH,MTH,HTH,DH,SpaceHeating,rawBiogas,syngas,coal
77,-179.1558408,-100.1433763,-0.000272811,-0.010365543,-0.000600483,-445.5359667,-3.61E-05,-16.93654973,-13.44836235,-1.41E-05,-0.000870926
78,-369.3581366,-549.7075326,-1.07E-05,-4.99E-05,0,-1.12E-05,0,0,-0.000339341,0,0
79,-324.9992241,-382.7350159,0,0,0,0,0,0,-6.01E-05,0,0
80,-287.8830522,-485.440139,0,0,0,0,0,0,-0.000111114,0,0
81,-315.9378965,-408.3842875,0,-1.38E-05,0,-2.19E-05,0,0,-0.000347733,0,0
82,-322.5744006,-596.3109103,0,0,0,0,0,0,-0.00020586,0,0
83,-661.902823,-326.9697477,-7.96E-05,-4.73E-05,0,-0.000303294,0,0,-0.000358045,0,-8.65E-05
84,-303.2490757,-593.9180943,0,0,0,-3.31E-05,0,0,-0.000268319,0,-2.13E-05
85,-407.5058193,-445.8648249,0,0,0,0,0,0,-0.000231816,0,0
86,-248.0265108,-158.7404169,-0.000160027,-0.080605839,0,-249.566479,-2.48E-05,-4.870298972,-20.30185888,-0.000101978,-0.000608535
87,-376.4082854,-403.1315114,0,0,0,0,0,0,-0.000284397,0,0
88,-362.2550617,-463.9223875,0,0,0,0,0,0,-0.000115319,0,0
89,-427.7196857,-485.7570949,0,0,0,0,0,0,-0.000114636,0,0
90,-383.3487424,-346.1570664,0,0,0,-3.23E-05,0,0,-0.000274583,0,0
91,-174.6215094,-325.3962617,-0.000211532,-0.06786377,-1.05E-05,-146.9959233,-1.13E-05,-38.99498162,-37.80359894,-2.43E-05,-0.000297032
92,-160.191876,-396.4471673,-9.75E-05,-0.106971479,-0.002643516,-142.5681857,-4.695929622,0,-61.60178243,0,-1.00E-05
93,-393.92158,-602.9791692,0,0,0,0,0,0,-3.38E-05,0,0
94,-307.6263692,-349.4261569,0,-7.13E-05,0,0,0,0,-0.000448124,0,-6.11E-05
95,-853.0501628,-1.969979102,0,0,0,0,0,0,0,0,0
96,-336.1850013,-372.5342135,0,0,0,0,0,0,-0.000159594,0,0
97,-299.779198,-518.0205143,0,0,0,0,0,0,-0.000113267,0,0
98,-283.2590395,-344.7141368,-3.51E-05,-0.053668152,-1.03E-05,-141.525984,0,-20.86366167,-15.5193691,-9.62E-05,-0.000287122
99,-349.7927377,-470.683628,0,0,0,0,0,0,-5.64E-05,0,0
100,-359.4660052,-349.0579463,0,0,0,0,0,0,-0.00012766,0,0
101,-751.3054414,-196.8572046,0,0,0,0,0,0,0,0,0
102,-352.9148767,-450.2260939,0,0,0,0,0,0,-0.000153411,0,0
103,-363.7862289,-476.1705255,0,-3.68E-05,0,-2.46E-05,0,0,-0.000422327,0,0
104,-392.0722188,-402.2861015,0,0,0,0,0,0,-5.36E-05,0,0
105,-436.3065752,-550.6738449,-1.02E-05,-2.63E-05,0,-1.32E-05,0,0,-0.00041308,0,0
106,-380.0489802,-414.8877334,0,0,0,0,0,0,-9.34E-05,0,0
107,-263.7666405,-502.0992002,0,0,0,0,0,0,-0.000164696,0,0
108,-524.4548967,-446.3072807,0,0,0,0,0,0,-0.000101705,0,0
109,-189.4581334,-299.4391857,0,-0.000108035,0,-291.3663408,-0.09471349,0,-47.66523438,-1.27E-05,-0.000138295
110,-323.2402115,-448.116284,-3.49E-05,-0.034553116,0,-131.6938546,0,-33.84030895,-14.26820935,0,-0.000133165
111,-354.9722034,-487.9763319,0,0,0,0,0,0,-0.000124619,0,0
112,-852.5186157,-4.953342035,-3.57E-05,-2.46E-05,0,-1.11E-05,0,0,-0.000267963,0,-1.05E-05
113,-120.226329,-147.783132,-0.000185003,-0.076021959,-0.000104213,-272.7919859,-1.09E-05,-229.2982204,-58.84326431,-1.20E-05,-0.000548888
114,-146.374149,-84.41036358,-2.34E-05,-0.000190376,-3.64E-05,-0.309585447,-2.44E-05,0,-0.001589292,-4.97E-05,-0.000245772
115,-405.8508433,-419.2745746,0,0,0,0,0,0,-9.93E-05,0,0
116,-724.4659383,-198.8539961,-1.05E-05,0,0,-1.01E-05,0,0,-0.000222396,0,-3.53E-05
117,-236.1147437,-165.4833199,-0.000241317,-0.065485564,-3.75E-05,-273.9625949,-4.77E-05,0,-14.61145667,0,-23.89416338
118,-432.7422075,-406.7789896,0,-0.454355214,0,-53.52358503,0,-27.23922319,-0.455297498,0,0
119,-358.500205,-531.4349745,0,0,0,0,0,0,-2.44E-05,0,0
120,-351.7760503,-331.5527168,-5.88E-05,-0.000142047,0,-65.45298463,0,0,-0.001355831,0,-0.000108258
