region_4,region_4,exchange,timestep_2,distance,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,source
39CZ,40CZ,methaneGrid,2040,161.3899853,capaExcResi,0,costExpExc,112.9729897,costOprExc,24.7128415,All same as h2Grid
39CZ,44PL,methaneGrid,2040,299.0205021,capaExcResi,0,costExpExc,209.3143515,costOprExc,45.78751438,All same as h2Grid
39CZ,50AT,methaneGrid,2040,265.1770555,capaExcResi,0,costExpExc,185.6239389,costOprExc,40.60523662,All same as h2Grid
39CZ,51AT,methaneGrid,2040,240.6050618,capaExcResi,0,costExpExc,168.4235433,costOprExc,36.84265009,All same as h2Grid
40CZ,43PL,methaneGrid,2040,198.2194216,capaExcResi,0,costExpExc,138.7535951,costOprExc,30.35234893,All same as h2Grid
40CZ,44PL,methaneGrid,2040,307.4527343,capaExcResi,0,costExpExc,215.216914,costOprExc,47.07869994,All same as h2Grid
40CZ,46SK,methaneGrid,2040,241.4773941,capaExcResi,0,costExpExc,169.0341759,costOprExc,36.97622597,All same as h2Grid
40CZ,51AT,methaneGrid,2040,190.3007039,capaExcResi,0,costExpExc,133.2104927,costOprExc,29.13979528,All same as h2Grid
41PL,42PL,methaneGrid,2040,182.7117625,capaExcResi,0,costExpExc,127.8982338,costOprExc,27.97773863,All same as h2Grid
41PL,43PL,methaneGrid,2040,254.8828619,capaExcResi,0,costExpExc,178.4180033,costOprExc,39.02893823,All same as h2Grid
41PL,44PL,methaneGrid,2040,290.4179975,capaExcResi,0,costExpExc,203.2925983,costOprExc,44.47025587,All same as h2Grid
41PL,45PL,methaneGrid,2040,191.6378897,capaExcResi,0,costExpExc,134.1465228,costOprExc,29.34455186,All same as h2Grid
41PL,77LT,methaneGrid,2040,391.6990835,capaExcResi,0,costExpExc,274.1893585,costOprExc,59.97892216,All same as h2Grid
42PL,43PL,methaneGrid,2040,204.0086329,capaExcResi,0,costExpExc,142.806043,costOprExc,31.23882191,All same as h2Grid
42PL,46SK,methaneGrid,2040,284.4793059,capaExcResi,0,costExpExc,199.1355141,costOprExc,43.56089372,All same as h2Grid
43PL,44PL,methaneGrid,2040,314.4017133,capaExcResi,0,costExpExc,220.0811993,costOprExc,48.14276235,All same as h2Grid
43PL,46SK,methaneGrid,2040,162.0806534,capaExcResi,0,costExpExc,113.4564574,costOprExc,24.81860005,All same as h2Grid
44PL,45PL,methaneGrid,2040,177.8765898,capaExcResi,0,costExpExc,124.5136129,costOprExc,27.23735281,All same as h2Grid
45PL,89SE,methaneGrid,2040,436.2471423,capaExcResi,0,costExpExc,305.3729996,costOprExc,66.80034366,All same as h2Grid
46SK,51AT,methaneGrid,2040,299.9877939,capaExcResi,0,costExpExc,209.9914557,costOprExc,45.93563094,All same as h2Grid
46SK,58HU,methaneGrid,2040,170.5101981,capaExcResi,0,costExpExc,119.3571387,costOprExc,26.10937408,All same as h2Grid
47CH,48CH,methaneGrid,2040,87.07522215,capaExcResi,0,costExpExc,60.95265551,costOprExc,13.33339339,All same as h2Grid
47CH,49AT,methaneGrid,2040,302.6629821,capaExcResi,0,costExpExc,211.8640875,costOprExc,46.34526913,All same as h2Grid
48CH,49AT,methaneGrid,2040,284.6385828,capaExcResi,0,costExpExc,199.247008,costOprExc,43.58528299,All same as h2Grid
48CH,52IT,methaneGrid,2040,165.0064056,capaExcResi,0,costExpExc,115.5044839,costOprExc,25.26660586,All same as h2Grid
49AT,50AT,methaneGrid,2040,183.7739861,capaExcResi,0,costExpExc,128.6417903,costOprExc,28.14039162,All same as h2Grid
49AT,52IT,methaneGrid,2040,254.2385298,capaExcResi,0,costExpExc,177.9669709,costOprExc,38.93027488,All same as h2Grid
49AT,57SI,methaneGrid,2040,257.6799814,capaExcResi,0,costExpExc,180.375987,costOprExc,39.45724715,All same as h2Grid
50AT,51AT,methaneGrid,2040,110.4340475,capaExcResi,0,costExpExc,77.30383325,costOprExc,16.91021352,All same as h2Grid
50AT,57SI,methaneGrid,2040,173.90792,capaExcResi,0,costExpExc,121.735544,costOprExc,26.62965025,All same as h2Grid
51AT,58HU,methaneGrid,2040,268.6601374,capaExcResi,0,costExpExc,188.0620962,costOprExc,41.13858354,All same as h2Grid
52IT,53IT,methaneGrid,2040,258.4434312,capaExcResi,0,costExpExc,180.9104018,costOprExc,39.5741504,All same as h2Grid
52IT,57SI,methaneGrid,2040,384.7714797,capaExcResi,0,costExpExc,269.3400358,costOprExc,58.91813283,All same as h2Grid
53IT,54IT,methaneGrid,2040,275.9884204,capaExcResi,0,costExpExc,193.1918943,costOprExc,42.26072687,All same as h2Grid
53IT,99FR,methaneGrid,2040,231.5665447,capaExcResi,0,costExpExc,162.0965813,costOprExc,35.45862716,All same as h2Grid
54IT,55IT,methaneGrid,2040,221.6828076,capaExcResi,0,costExpExc,155.1779653,costOprExc,33.94517991,All same as h2Grid
54IT,63BA,methaneGrid,2040,438.3305188,capaExcResi,0,costExpExc,306.8313632,costOprExc,67.11936069,All same as h2Grid
55IT,56IT,methaneGrid,2040,366.763383,capaExcResi,0,costExpExc,256.7343681,costOprExc,56.16064302,All same as h2Grid
55IT,70AL,methaneGrid,2040,331.7180726,capaExcResi,0,costExpExc,232.2026508,costOprExc,50.79432987,All same as h2Grid
57SI,58HU,methaneGrid,2040,354.8803177,capaExcResi,0,costExpExc,248.4162224,costOprExc,54.34104865,All same as h2Grid
57SI,62HR,methaneGrid,2040,191.9854066,capaExcResi,0,costExpExc,134.3897846,costOprExc,29.39776539,All same as h2Grid
58HU,59RO,methaneGrid,2040,342.2285586,capaExcResi,0,costExpExc,239.559991,costOprExc,52.40374804,All same as h2Grid
58HU,62HR,methaneGrid,2040,410.210311,capaExcResi,0,costExpExc,287.1472177,costOprExc,62.81345387,All same as h2Grid
58HU,65RS,methaneGrid,2040,344.7495811,capaExcResi,0,costExpExc,241.3247068,costOprExc,52.78977961,All same as h2Grid
59RO,60RO,methaneGrid,2040,180.938072,capaExcResi,0,costExpExc,126.6566504,costOprExc,27.70614228,All same as h2Grid
59RO,61RO,methaneGrid,2040,271.7883694,capaExcResi,0,costExpExc,190.2518586,costOprExc,41.61759406,All same as h2Grid
59RO,65RS,methaneGrid,2040,334.276949,capaExcResi,0,costExpExc,233.9938643,costOprExc,51.18615782,All same as h2Grid
60RO,61RO,methaneGrid,2040,278.5523998,capaExcResi,0,costExpExc,194.9866799,costOprExc,42.65333622,All same as h2Grid
60RO,65RS,methaneGrid,2040,296.3440868,capaExcResi,0,costExpExc,207.4408608,costOprExc,45.37768829,All same as h2Grid
60RO,66BG,methaneGrid,2040,274.3865886,capaExcResi,0,costExpExc,192.070612,costOprExc,42.01544638,All same as h2Grid
61RO,66BG,methaneGrid,2040,445.5747307,capaExcResi,0,costExpExc,311.9023115,costOprExc,68.22863064,All same as h2Grid
62HR,63BA,methaneGrid,2040,149.466972,capaExcResi,0,costExpExc,104.6268804,costOprExc,22.88713009,All same as h2Grid
62HR,65RS,methaneGrid,2040,366.385259,capaExcResi,0,costExpExc,256.4696813,costOprExc,56.10274278,All same as h2Grid
63BA,64ME,methaneGrid,2040,197.9540359,capaExcResi,0,costExpExc,138.5678251,costOprExc,30.31171175,All same as h2Grid
63BA,65RS,methaneGrid,2040,219.6491038,capaExcResi,0,costExpExc,153.7543727,costOprExc,33.63376902,All same as h2Grid
64ME,65RS,methaneGrid,2040,205.4702611,capaExcResi,0,costExpExc,143.8291828,costOprExc,31.46263373,All same as h2Grid
64ME,70AL,methaneGrid,2040,189.3868667,capaExcResi,0,costExpExc,132.5708067,costOprExc,28.99986396,All same as h2Grid
65RS,66BG,methaneGrid,2040,432.5493662,capaExcResi,0,costExpExc,302.7845563,costOprExc,66.2341217,All same as h2Grid
65RS,67MK,methaneGrid,2040,310.3195234,capaExcResi,0,costExpExc,217.2236664,costOprExc,47.51767702,All same as h2Grid
65RS,70AL,methaneGrid,2040,355.6206255,capaExcResi,0,costExpExc,248.9344379,costOprExc,54.45440828,All same as h2Grid
66BG,67MK,methaneGrid,2040,315.2859964,capaExcResi,0,costExpExc,220.7001975,costOprExc,48.2781682,All same as h2Grid
66BG,68GR,methaneGrid,2040,393.8604482,capaExcResi,0,costExpExc,275.7023137,costOprExc,60.30988113,All same as h2Grid
67MK,68GR,methaneGrid,2040,181.6802457,capaExcResi,0,costExpExc,127.176172,costOprExc,27.81978762,All same as h2Grid
67MK,70AL,methaneGrid,2040,150.5136201,capaExcResi,0,costExpExc,105.3595341,costOprExc,23.04739808,All same as h2Grid
68GR,69GR,methaneGrid,2040,338.6194346,capaExcResi,0,costExpExc,237.0336042,costOprExc,51.85110092,All same as h2Grid
68GR,70AL,methaneGrid,2040,206.9275499,capaExcResi,0,costExpExc,144.8492849,costOprExc,31.68578108,All same as h2Grid
72DK,89SE,methaneGrid,2040,164.6954858,capaExcResi,0,costExpExc,115.2868401,costOprExc,25.21899626,All same as h2Grid
73EE,75FI,methaneGrid,2040,378.2993726,capaExcResi,0,costExpExc,264.8095608,costOprExc,57.92709143,All same as h2Grid
73EE,78LV,methaneGrid,2040,199.7861262,capaExcResi,0,costExpExc,139.8502883,costOprExc,30.59225057,All same as h2Grid
74FI,75FI,methaneGrid,2040,530.9718836,capaExcResi,0,costExpExc,371.6803185,costOprExc,81.30506968,All same as h2Grid
74FI,85NO,methaneGrid,2040,410.6501244,capaExcResi,0,costExpExc,287.4550871,costOprExc,62.8808003,All same as h2Grid
74FI,86SE,methaneGrid,2040,263.980813,capaExcResi,0,costExpExc,184.7865691,costOprExc,40.42206199,All same as h2Grid
77LT,78LV,methaneGrid,2040,203.5679618,capaExcResi,0,costExpExc,142.4975733,costOprExc,31.17134415,All same as h2Grid
79NO,80NO,methaneGrid,2040,177.2002144,capaExcResi,0,costExpExc,124.0401501,costOprExc,27.13378283,All same as h2Grid
79NO,81NO,methaneGrid,2040,230.4470793,capaExcResi,0,costExpExc,161.3129555,costOprExc,35.28720902,All same as h2Grid
80NO,81NO,methaneGrid,2040,251.4648622,capaExcResi,0,costExpExc,176.0254035,costOprExc,38.50555702,All same as h2Grid
80NO,82NO,methaneGrid,2040,223.0004002,capaExcResi,0,costExpExc,156.1002801,costOprExc,34.14693628,All same as h2Grid
81NO,82NO,methaneGrid,2040,239.1201576,capaExcResi,0,costExpExc,167.3841103,costOprExc,36.61527413,All same as h2Grid
81NO,83NO,methaneGrid,2040,271.6692295,capaExcResi,0,costExpExc,190.1684607,costOprExc,41.59935077,All same as h2Grid
82NO,83NO,methaneGrid,2040,241.2628238,capaExcResi,0,costExpExc,168.8839767,costOprExc,36.94336989,All same as h2Grid
82NO,88SE,methaneGrid,2040,320.1586636,capaExcResi,0,costExpExc,224.1110645,costOprExc,49.02429536,All same as h2Grid
83NO,84NO,methaneGrid,2040,572.1602243,capaExcResi,0,costExpExc,400.512157,costOprExc,87.61203435,All same as h2Grid
83NO,87SE,methaneGrid,2040,429.6816884,capaExcResi,0,costExpExc,300.7771819,costOprExc,65.79500854,All same as h2Grid
84NO,85NO,methaneGrid,2040,553.241949,capaExcResi,0,costExpExc,387.2693643,costOprExc,84.71517344,All same as h2Grid
84NO,86SE,methaneGrid,2040,270.774259,capaExcResi,0,costExpExc,189.5419813,costOprExc,41.46230841,All same as h2Grid
84NO,87SE,methaneGrid,2040,420.1019246,capaExcResi,0,costExpExc,294.0713472,costOprExc,64.3281072,All same as h2Grid
86SE,87SE,methaneGrid,2040,412.9328247,capaExcResi,0,costExpExc,289.0529773,costOprExc,63.23033878,All same as h2Grid
87SE,88SE,methaneGrid,2040,503.9427541,capaExcResi,0,costExpExc,352.7599279,costOprExc,77.16623422,All same as h2Grid
88SE,89SE,methaneGrid,2040,336.7014957,capaExcResi,0,costExpExc,235.691047,costOprExc,51.55741653,All same as h2Grid
90UK,91UK,methaneGrid,2040,269.9501434,capaExcResi,0,costExpExc,188.9651004,costOprExc,41.33611571,All same as h2Grid
90UK,92UK,methaneGrid,2040,246.9479978,capaExcResi,0,costExpExc,172.8635985,costOprExc,37.81391216,All same as h2Grid
91UK,92UK,methaneGrid,2040,211.0090985,capaExcResi,0,costExpExc,147.706369,costOprExc,32.31076821,All same as h2Grid
92UK,93UK,methaneGrid,2040,246.8552468,capaExcResi,0,costExpExc,172.7986728,costOprExc,37.79970967,All same as h2Grid
93UK,94UK,methaneGrid,2040,351.7016062,capaExcResi,0,costExpExc,246.1911243,costOprExc,53.85430845,All same as h2Grid
93UK,95UK,methaneGrid,2040,242.5576461,capaExcResi,0,costExpExc,169.7903523,costOprExc,37.14163956,All same as h2Grid
95UK,96IE,methaneGrid,2040,195.1596407,capaExcResi,0,costExpExc,136.6117485,costOprExc,29.88381998,All same as h2Grid
98IT,99FR,methaneGrid,2040,205.638573,capaExcResi,0,costExpExc,143.9470011,costOprExc,31.48840649,All same as h2Grid
01ES,02ES,methaneGrid,,226.0229801,lossExc,0.00773,,,,,All same as h2Grid
01ES,12PT,methaneGrid,,220.7843196,lossExc,0.00755,,,,,All same as h2Grid
02ES,03ES,methaneGrid,,169.3470606,lossExc,0.00579,,,,,All same as h2Grid
02ES,08ES,methaneGrid,,345.1591499,lossExc,0.01181,,,,,All same as h2Grid
02ES,12PT,methaneGrid,,242.1057926,lossExc,0.00828,,,,,All same as h2Grid
03ES,04ES,methaneGrid,,170.5697448,lossExc,0.00584,,,,,All same as h2Grid
03ES,05ES,methaneGrid,,258.8830989,lossExc,0.00886,,,,,All same as h2Grid
03ES,07ES,methaneGrid,,135.5792406,lossExc,0.00464,,,,,All same as h2Grid
03ES,08ES,methaneGrid,,285.2596021,lossExc,0.00976,,,,,All same as h2Grid
03ES,11ES,methaneGrid,,365.8997089,lossExc,0.01252,,,,,All same as h2Grid
04ES,05ES,methaneGrid,,200.888342,lossExc,0.00687,,,,,All same as h2Grid
04ES,14FR,methaneGrid,,286.850674,lossExc,0.00981,,,,,All same as h2Grid
05ES,06ES,methaneGrid,,180.7563858,lossExc,0.00618,,,,,All same as h2Grid
05ES,11ES,methaneGrid,,268.5552515,lossExc,0.00919,,,,,All same as h2Grid
05ES,14FR,methaneGrid,,305.4484316,lossExc,0.01045,,,,,All same as h2Grid
06ES,11ES,methaneGrid,,370.9179493,lossExc,0.01269,,,,,All same as h2Grid
06ES,14FR,methaneGrid,,253.2242877,lossExc,0.00866,,,,,All same as h2Grid
06ES,15FR,methaneGrid,,270.4177384,lossExc,0.00925,,,,,All same as h2Grid
07ES,08ES,methaneGrid,,172.8048204,lossExc,0.00591,,,,,All same as h2Grid
07ES,11ES,methaneGrid,,276.9872673,lossExc,0.00948,,,,,All same as h2Grid
08ES,09ES,methaneGrid,,231.1051398,lossExc,0.00791,,,,,All same as h2Grid
08ES,10ES,methaneGrid,,198.6497561,lossExc,0.0068,,,,,All same as h2Grid
08ES,11ES,methaneGrid,,359.9690076,lossExc,0.01232,,,,,All same as h2Grid
