technology_3,timestep_2,carrier_1,carrier_2,parameter,value,source
eBoilerProMed,2040,,,costOprConv,0.9603,
eBoilerProMed,,,,avaConv,0.986153846,
eBoilerProLow,2040,,,lifeConv,25,
eBoilerProLow,,,,effConv,0.99,
eBoilerProLow,,,,costExpConv,59.4,
eBoilerProLow,2040,,,costOprConv,0.9603,
eBoilerProLow,,,,avaConv,0.986153846,
eBoilerProHigh,2040,,,lifeConv,12.5,
eBoilerProHigh,,,,effConv,1,
eBoilerProHigh,,,,costExpConv,60,
eBoilerProHigh,2040,,,costOprConv,0,
eBoilerProHigh,,,,avaConv,1,
districtHeatPro,2040,,,lifeConv,25,Assumption
districtHeatPro,,,,effConv,0.9,
districtHeatPro,,,,costExpConv,58.98512637,
districtHeatPro,2040,,,costOprConv,0.57515625,
districtHeatPro,,,,avaConv,0.92,Assumption
digestateBoilerProMed,2040,,,lifeConv,17,Assumtion same as Wood Boiler
digestateBoilerProMed,,,,effConv,0.432,Assumtion half of Wood Boiler
digestateBoilerProMed,,,,costExpConv,115,Assumtion same as Wood Boiler
digestateBoilerProMed,2040,,,costOprConv,2.3,Assumtion same as Wood Boiler
digestateBoilerProMed,,,,avaConv,0.9,Assumtion same as Wood Boiler
digestateBoilerProLow,2040,,,lifeConv,17,Assumtion same as Wood Boiler
digestateBoilerProLow,,,,effConv,0.432,Assumtion half of Wood Boiler
digestateBoilerProLow,,,,costExpConv,115,Assumtion same as Wood Boiler
digestateBoilerProLow,2040,,,costOprConv,2.3,Assumtion same as Wood Boiler
digestateBoilerProLow,,,,avaConv,0.9,Assumtion same as Wood Boiler
digestateBoilerProHigh,2040,,,lifeConv,17,Assumtion same as Wood Boiler
digestateBoilerProHigh,,,,effConv,0.432,Assumtion half of Wood Boiler
digestateBoilerProHigh,,,,costExpConv,115,Assumtion same as Wood Boiler
digestateBoilerProHigh,2040,,,costOprConv,2.3,Assumtion same as Wood Boiler
digestateBoilerProHigh,,,,avaConv,0.9,Assumtion same as Wood Boiler
bioBoilerProMed,2040,,,lifeConv,17,Boiler NG @ https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
bioBoilerProMed,,,,effConv,0.927,Boiler NG @ https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
bioBoilerProMed,,,,costExpConv,58.9,Boiler NG @ https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
bioBoilerProMed,2040,,,costOprConv,1.2,Boiler NG @ https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
bioBoilerProMed,,,,avaConv,0.95,Boiler NG @ https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
bioBoilerProLow,2040,,,lifeConv,17,Boiler NG @ https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
bioBoilerProLow,,,,effConv,0.927,Boiler NG @ https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
bioBoilerProLow,,,,costExpConv,58.9,Boiler NG @ https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
bioBoilerProLow,2040,,,costOprConv,1.2,Boiler NG @ https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
bioBoilerProLow,,,,avaConv,0.95,Boiler NG @ https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
bioBoilerProHigh,2040,,,lifeConv,17,Boiler NG @ https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
bioBoilerProHigh,,,,effConv,0.927,Boiler NG @ https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
bioBoilerProHigh,,,,costExpConv,58.9,Boiler NG @ https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
bioBoilerProHigh,2040,,,costOprConv,1.2,Boiler NG @ https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
bioBoilerProHigh,,,,avaConv,0.95,Boiler NG @ https://energyscope.readthedocs.io/en/master/sections/Input%20Data.html#id177
