timestep_2,region_4,technology_1,technology_2,technology_3,parameter,value,comment,"for eBoilerProHigh and eBoilerProMed potential is estimated in techData -> processHeatPotential, other technologies use existing capacities computed in heatInpus -> heatDemStock as upper limit",,,,,,,,,,,,,,,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp
all,74FI,engine,engineProMed,,capaConvUp,0.4227,,,,,,,,,,,,,,,,,,,,
all,75FI,engine,engineProMed,,capaConvUp,5.2039,,,,,,,,,,,,,,,,,,,,
all,77LT,engine,engineProMed,,capaConvUp,0.0622,,,,,,,,,,,,,,,,,,,,
all,78LV,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,79NO,engine,engineProMed,,capaConvUp,0.1445,,,,,,,,,,,,,,,,,,,,
all,80NO,engine,engineProMed,,capaConvUp,0.335,,,,,,,,,,,,,,,,,,,,
all,81NO,engine,engineProMed,,capaConvUp,0.6831,,,,,,,,,,,,,,,,,,,,
all,82NO,engine,engineProMed,,capaConvUp,1.293,,,,,,,,,,,,,,,,,,,,
all,83NO,engine,engineProMed,,capaConvUp,0.342,,,,,,,,,,,,,,,,,,,,
all,84NO,engine,engineProMed,,capaConvUp,0.2858,,,,,,,,,,,,,,,,,,,,
all,85NO,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,86SE,engine,engineProMed,,capaConvUp,0.1307,,,,,,,,,,,,,,,,,,,,
all,87SE,engine,engineProMed,,capaConvUp,0.8035,,,,,,,,,,,,,,,,,,,,
all,88SE,engine,engineProMed,,capaConvUp,2.7389,,,,,,,,,,,,,,,,,,,,
all,89SE,engine,engineProMed,,capaConvUp,0.7456,,,,,,,,,,,,,,,,,,,,
all,90UK,engine,engineProMed,,capaConvUp,0.2158,,,,,,,,,,,,,,,,,,,,
all,91UK,engine,engineProMed,,capaConvUp,0.0535,,,,,,,,,,,,,,,,,,,,
all,92UK,engine,engineProMed,,capaConvUp,0.3142,,,,,,,,,,,,,,,,,,,,
all,93UK,engine,engineProMed,,capaConvUp,0.085,,,,,,,,,,,,,,,,,,,,
all,94UK,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,95UK,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,96IE,engine,engineProMed,,capaConvUp,0.1633,,,,,,,,,,,,,,,,,,,,
all,98IT,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,99FR,engine,engineProMed,,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,01ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,02ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,03ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,04ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,05ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,06ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,07ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,08ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,09ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,10ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,11ES,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
