timestep_2,region_2,carrier_1,carrier_2,parameter,value,comments
all,BE,biomass,manure,trdBuyUp,1074.280638,Assumption 1/10 of greenwaste
all,BG,biomass,manure,trdBuyUp,273.8102666,Assumption 1/10 of greenwaste
all,CH,biomass,manure,trdBuyUp,516.7665136,Assumption 1/10 of greenwaste
all,CZ,biomass,manure,trdBuyUp,1170.797141,Assumption 1/10 of greenwaste
all,DE,biomass,manure,trdBuyUp,2933.796798,Assumption 1/10 of greenwaste
all,DK,biomass,manure,trdBuyUp,1202.131842,Assumption 1/10 of greenwaste
all,EE,biomass,manure,trdBuyUp,231.1868132,Assumption 1/10 of greenwaste
all,ES,biomass,manure,trdBuyUp,3046.668754,Assumption 1/10 of greenwaste
all,FI,biomass,manure,trdBuyUp,223.3984917,Assumption 1/10 of greenwaste
all,FR,biomass,manure,trdBuyUp,7177.725098,Assumption 1/10 of greenwaste
all,GR,biomass,manure,trdBuyUp,212.6402344,Assumption 1/10 of greenwaste
all,HR,biomass,manure,trdBuyUp,90.33123517,Assumption 1/10 of greenwaste
all,HU,biomass,manure,trdBuyUp,1768.63654,Assumption 1/10 of greenwaste
all,IE,biomass,manure,trdBuyUp,509.7422399,Assumption 1/10 of greenwaste
all,IT,biomass,manure,trdBuyUp,3210.636474,Assumption 1/10 of greenwaste
all,LT,biomass,manure,trdBuyUp,469.1813627,Assumption 1/10 of greenwaste
all,LU,biomass,manure,trdBuyUp,43.68550531,Assumption 1/10 of greenwaste
all,LV,biomass,manure,trdBuyUp,235.4523375,Assumption 1/10 of greenwaste
all,ME,biomass,manure,trdBuyUp,6.923311296,Assumption 1/10 of greenwaste
all,MK,biomass,manure,trdBuyUp,21.84554855,Assumption 1/10 of greenwaste
all,NL,biomass,manure,trdBuyUp,1356.158366,Assumption 1/10 of greenwaste
all,NO,biomass,manure,trdBuyUp,929.1363665,Assumption 1/10 of greenwaste
all,PL,biomass,manure,trdBuyUp,2621.228808,Assumption 1/10 of greenwaste
all,PT,biomass,manure,trdBuyUp,765.6305405,Assumption 1/10 of greenwaste
all,RO,biomass,manure,trdBuyUp,596.9327594,Assumption 1/10 of greenwaste
all,RS,biomass,manure,trdBuyUp,290.4586435,Assumption 1/10 of greenwaste
all,SE,biomass,manure,trdBuyUp,787.5223089,Assumption 1/10 of greenwaste
all,SI,biomass,manure,trdBuyUp,41.30155143,Assumption 1/10 of greenwaste
all,SK,biomass,manure,trdBuyUp,344.582794,Assumption 1/10 of greenwaste
all,UK,biomass,manure,trdBuyUp,4494.714242,Assumption 1/10 of greenwaste
,,biomass,wood,trdBuyPrc,0,
,,biomass,greenWaste,trdBuyPrc,0,
,,biomass,sludge,trdBuyPrc,0,
,,biomass,waste,trdBuyPrc,0,
,,biomass,manure,trdBuyPrc,0,
