region_4,technology_3,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
90UK,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
91UK,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
92UK,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
93UK,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
94UK,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
95UK,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
96IE,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
98IT,reservoir,capaStOutResi,0.1418,capaStInResi,0,capaStSizeResi,144.35
99FR,reservoir,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
01ES,pumpedStorage,capaStOutResi,2.315454278,capaStInResi,2.206422433,capaStSizeResi,1469.544325
02ES,pumpedStorage,capaStOutResi,2.562900225,capaStInResi,2.442216459,capaStSizeResi,1626.590305
03ES,pumpedStorage,capaStOutResi,0.289784607,capaStInResi,0.276139012,capaStSizeResi,183.9169655
04ES,pumpedStorage,capaStOutResi,0.173118076,capaStInResi,0.164966163,capaStSizeResi,109.8724729
05ES,pumpedStorage,capaStOutResi,0.521235948,capaStInResi,0.4966916,capaStSizeResi,330.8116847
06ES,pumpedStorage,capaStOutResi,1.364245715,capaStInResi,1.30000509,capaStSizeResi,865.8428571
07ES,pumpedStorage,capaStOutResi,0.126075121,capaStInResi,0.120138402,capaStSizeResi,80.01582266
08ES,pumpedStorage,capaStOutResi,0.453494092,capaStInResi,0.432139623,capaStSizeResi,287.8181084
09ES,pumpedStorage,capaStOutResi,0.477015571,capaStInResi,0.454553505,capaStSizeResi,302.7464335
10ES,pumpedStorage,capaStOutResi,0.359408181,capaStInResi,0.342484099,capaStSizeResi,228.1048078
11ES,pumpedStorage,capaStOutResi,0.906988185,capaStInResi,0.864279247,capaStSizeResi,575.6362168
12PT,pumpedStorage,capaStOutResi,3.17721165,capaStInResi,2.967442718,capaStSizeResi,1673.093786
13PT,pumpedStorage,capaStOutResi,0.65478835,capaStInResi,0.611557282,capaStSizeResi,344.8062136
14FR,pumpedStorage,capaStOutResi,0.333769777,capaStInResi,0.333769777,capaStSizeResi,8.783415167
15FR,pumpedStorage,capaStOutResi,0.755991998,capaStInResi,0.755991998,capaStSizeResi,19.89452628
16FR,pumpedStorage,capaStOutResi,0.362793235,capaStInResi,0.362793235,capaStSizeResi,9.547190398
17FR,pumpedStorage,capaStOutResi,0,capaStInResi,0,capaStSizeResi,0
