crudeOil;HVC;syngas;initial cluster;cluster_final
202.5715989;499.1057077;141.719304;1;1
347.0776576;335.0775264;46.31291967;0;0
186.4162105;477.2911817;140.4557247;1;1
167.1967191;572.8319156;177.3122354;1;1
308.7275364;442.1177936;0.310238279;0;0
141.5043446;536.6206297;198.1274281;1;1
330.4611343;415.1844115;1.515230037;0;0
331.3761033;593.28771;0.483313506;0;0
353.0092774;522.6949021;0.415703908;0;0
149.5604266;411.7292285;147.448992;1;1
195.6922686;414.0195778;137.0750188;1;1
221.7183292;445.4277875;134.3816312;1;1
160.9154184;367.655211;180.8365061;1;1
402.9302804;456.753605;0.398222255;0;0
289.5315225;548.3407176;0.292229541;0;0
351.422269;566.8308341;0.33031413;0;0
324.0886776;382.6525502;0.425883764;0;0
141.6137924;485.2395685;145.5217053;1;1
315.0903105;408.2297591;0.268307333;0;0
321.6258159;596.1885892;0.319693228;0;0
399.2685235;588.5251599;0.303175953;0;0
146.4198325;618.9483352;147.3408727;1;1
406.1863869;445.6797577;0.739785038;0;0
173.697373;365.5437076;165.5855395;1;1
375.6249063;403.0412955;0.367207203;0;0
176.4096731;463.7751333;185.2559572;1;1
211.6138853;485.5963871;215.5691264;1;1
177.0815023;346.0136188;205.6571929;1;1
159.1697963;422.7277398;141.2999893;1;1
234.3479246;399.2689819;131.280466;1;1
178.690361;602.812992;214.4077129;1;1
306.5151009;349.2295711;0.355345543;0;0
198.2577564;439.9813066;230.1084785;1;1
335.1120456;372.3009036;0.307053381;0;0
152.2397387;517.9028168;146.839524;1;1
334.8120205;501.6706775;0.450192366;0;0
160.5602156;470.5465702;188.6430782;1;1
358.3098357;348.8871108;0.527763427;0;0
165.7620306;609.3329263;172.0336867;1;1
244.8425626;450.1109925;107.5241446;1;1
176.024196;476.1037766;187.2330406;1;1
222.4966331;402.1542866;169.1342992;1;1
208.5378633;568.6086933;209.2056582;1;1
379.0420633;414.7546559;0.39623197;0;0
133.1734866;501.9595473;129.8877448;1;1
364.2107403;605.4581214;0.376486646;0;0
360.2544978;479.0380631;14.60735561;0;0
197.5634309;597.9217312;178.5909338;1;1
353.252517;487.8190075;0.98371045;0;0
131.7362305;579.0333098;145.993628;1;1
328.809466;512.0874021;0.578712349;0;0
310.6481074;559.5420684;0.654428249;0;0
404.5913132;419.0807914;0.447275759;0;0
212.1237492;496.9502304;213.5533509;1;1
412.4727803;429.0305623;2.06822547;0;0
224.5894863;487.391235;208.966766;1;1
355.6983749;531.3051436;2.052976331;0;0
251.8498982;396.8264182;99.20095308;1;1
396.835168;450.2664525;0.331777163;0;0
197.6917322;347.2422012;188.3306584;1;1
305.0749975;505.2274272;0.688419959;0;0
169.7041905;423.307077;200.4468442;1;1
384.7949985;590.7161744;0.712949969;0;0
139.7413137;515.3257064;231.7713298;1;1
219.1274403;557.5449013;220.3829018;1;1
348.3757411;552.5508145;53.36936618;0;0
353.8113445;468.3885472;0.586600509;0;0
155.1756969;454.255237;167.1234417;1;1
182.0306812;510.2281486;197.4201568;1;1
185.0948486;416.9558891;215.5982067;1;1
272.4927402;491.3514572;0.309682798;0;0
207.571397;604.2616513;183.0053673;1;1
189.8602817;417.789919;132.068402;1;1
315.746385;407.8428085;0.247641097;0;0
217.3331207;476.6987843;155.6804873;1;1
146.6313285;377.6390601;220.5172013;1;1
218.2407476;433.5675473;141.2632329;1;1
402.8084213;374.696358;0.572899168;0;0
318.4864515;349.6642967;0.279065209;0;0
158.4716715;408.351092;188.4078635;1;1
182.4276609;363.6607441;127.0860071;1;1
194.5103549;469.4482871;172.9047895;1;1
294.5168379;558.7536583;0.444262382;0;0
200.108522;520.3750375;157.6541159;1;1
