crudeOil;HVC;syngas;initial cluster;cluster_final
295.5511238;558.8754563;0.000589614;0;0
200.8155688;520.5140221;157.586412;1;1
270.3938177;474.0830839;80.86098981;0;0
327.2448137;580.4912352;25.64461464;0;0
398.4632314;561.8697075;0.000696193;0;0
222.2869753;519.266268;172.1309784;1;1
379.9647641;410.2124283;1.856072436;0;0
137.2310539;509.9689119;171.1425938;1;1
395.3837938;480.6705471;0.000374498;0;0
348.6869195;351.89243;0.001157702;0;0
185.7350677;441.6436913;139.2524633;1;1
127.4493925;515.9623864;218.5575343;1;1
214.7648434;338.9203563;216.1618542;1;1
406.6223151;406.2498645;5.86e-05;0;0
341.5649564;558.1020904;0.488117036;0;0
197.3823844;540.8341795;139.7179746;1;1
131.1180807;500.2532201;150.2557375;1;1
153.5676112;492.5912574;214.6666161;1;1
146.0806518;506.3680633;180.5881549;1;1
147.3264357;456.5274988;158.98543;1;1
395.2313863;519.9230961;0.000571348;0;0
399.9657052;486.2060735;0.000294057;0;0
199.850606;578.1533138;226.7044275;1;1
227.6189654;343.1432401;226.7687496;1;1
129.3289694;572.6815258;153.110129;1;1
184.6763283;516.7452132;186.6122081;1;1
184.517108;576.2287847;184.2534876;1;1
141.8737235;488.6991161;183.628012;1;1
204.1331458;508.8648545;224.6323281;1;1
176.5683593;335.0001074;230.236504;1;1
357.3252561;382.4847065;2.913656215;0;0
278.0493857;547.2765374;85.49927958;0;0
129.452398;435.5767502;167.5709626;1;1
397.7522445;614.5143078;0.431055821;0;0
190.5606888;535.2560123;146.3616365;1;1
320.8252871;428.8032923;0.000210886;0;0
220.5077993;593.9534841;202.0149045;1;1
157.5158068;388.2478671;231.0580132;1;1
318.0547213;491.7077778;0.557852543;0;0
206.8441357;382.2389869;172.868603;1;1
340.9243306;603.8700969;0.000120383;0;0
204.5382344;583.2908544;128.9564897;1;1
164.0217227;451.4283594;213.129922;1;1
144.4425734;432.4984788;214.846729;1;1
357.7193852;481.838704;0.000868709;0;0
134.2711739;529.2815558;177.209792;1;1
166.5259267;566.7138828;211.4278623;1;1
321.1064315;486.8628947;0.000210034;0;0
404.574619;418.497772;0.343810388;0;0
201.1628259;434.8963898;208.7152567;1;1
330.1691051;566.1231231;0.00046491;0;0
430.5444968;380.8576767;0.354022524;0;0
217.3949232;418.6819254;128.5080133;1;1
140.6803157;466.0723886;204.7102558;1;1
161.0468578;342.1237967;153.9707164;1;1
135.609631;583.9204994;163.5516033;1;1
150.5138099;449.0880963;205.6741664;1;1
189.3361599;489.0395944;203.0262362;1;1
203.7463917;581.6793387;195.0824291;1;1
143.653006;476.0188365;202.3167787;1;1
400.5990638;588.3422591;0.248334693;0;0
182.0832827;477.6806524;181.5533239;1;1
392.9091355;375.8211337;0.0002846;0;0
148.1253737;484.1485461;196.3295451;1;1
351.8252521;427.8773756;0.718741834;0;0
353.2542576;385.7050354;0.001528359;0;0
274.8593648;600.8685564;0.368923877;0;0
150.8186763;523.2858785;182.2513308;1;1
285.7228511;411.342676;0.001025484;0;0
246.248243;610.7298415;64.90069996;0;0
155.0279033;569.5930799;224.7217611;1;1
385.6994588;536.6149383;0.000181992;0;0
218.9276087;597.1027247;176.2652427;1;1
353.2894443;350.2075725;0.109906786;0;0
126.3362929;352.9346781;164.8504346;1;1
338.3073085;422.792517;0.000126752;0;0
128.6275957;346.9596233;222.5824692;1;1
204.0668652;428.05204;138.050418;1;1
338.9037258;378.8912852;0.000608462;0;0
154.4056529;498.3172406;194.5869167;1;1
197.766597;492.5146314;178.3089106;1;1
205.4322563;437.5904012;132.9645933;1;1
132.4165299;337.125814;219.6256403;1;1
190.0087202;388.5695016;212.3490866;1;1
324.9776216;383.4159688;0.16672067;0;0
323.5383424;464.7381604;20.06966722;0;0
370.8459681;571.9998785;0.000200761;0;0
219.6734891;439.0097227;193.3884458;1;1
180.6323223;350.8290145;207.04677;1;1
268.3833198;576.9394884;0.000969672;0;0
193.4266103;359.3697299;130.3852099;1;1
334.309585;460.1301342;0.710966796;0;0
131.2483566;606.5529665;210.0437072;1;1
313.924655;411.780681;0.001529923;0;0
362.8902162;515.9617281;0.000183615;0;0
163.0206918;480.2049141;165.0712796;1;1
162.7000532;606.8679666;132.6601225;1;1
204.6560638;410.5104123;193.5789989;1;1
344.507097;552.2619391;0.000344791;0;0
194.5281142;599.4635908;207.6489668;1;1
273.4318924;535.6406157;3.517093161;0;0
294.3603569;562.197443;0.657264066;0;0
396.3184223;403.8433449;0.001069283;0;0
223.8540169;614.3407356;151.9351239;1;1
440.8649892;507.0696542;0.001016186;0;0
128.3542002;478.3460661;157.6624519;1;1
270.7918366;571.1818327;47.52495359;0;0
201.7568574;376.0847141;165.6869124;1;1
222.2273519;602.2296659;144.5604363;1;1
384.1336201;546.8657205;0.000251349;0;0
151.5159332;610.1252505;204.4076903;1;1
147.4982839;611.2693871;148.4812195;1;1
131.21654;484.8815641;225.3912557;1;1
331.515352;521.1348224;0.000181962;0;0
198.9730065;496.8489677;181.7369537;1;1
294.8079185;550.6939003;5.33e-05;0;0
222.5175479;563.8147794;197.6416838;1;1
210.4114667;405.3611607;211.3719627;1;1
390.7152857;523.8221787;0.002570468;0;0
404.8167088;373.5880828;0.28756313;0;0
254.8813468;419.6052651;46.19152201;0;0
224.8457211;592.7407794;153.4208698;1;1
125.9172374;397.5058155;200.1229736;1;1
304.9460209;416.1427596;0.072260742;0;0
367.3983283;426.3469001;0.205349984;0;0
200.7139171;420.3745909;171.5317097;1;1
173.5867207;583.0779543;165.8593209;1;1
347.1429609;505.356173;0.436255799;0;0
327.7866837;447.8141744;0.00073435;0;0
381.4143929;373.2001132;0.002120755;0;0
150.3707499;510.9481988;186.9297012;1;1
205.1269742;583.7202694;140.0372382;1;1
160.5334511;527.2418832;215.3708011;1;1
324.2664454;466.3418062;1.25453305;0;0
192.7999941;458.3006259;187.1134372;1;1
316.6221;539.4099748;0.001607999;0;0
320.5554205;585.9821382;0.202378371;0;0
380.4537821;502.3322082;7.81e-05;0;0
309.1036492;605.4654056;0.00040049;0;0
184.5824412;402.8467943;146.2969529;1;1
199.7752269;528.9642068;182.7617287;1;1
213.2730466;597.3936288;161.6571179;1;1
220.7959521;401.2604401;202.4340233;1;1
299.0680313;381.9206853;30.29979033;0;0
151.3714737;338.5825807;176.5172794;1;1
344.1063662;531.9423678;0.004853413;0;0
212.492358;523.0160723;190.6990445;1;1
208.6381937;348.1689579;215.8130393;1;1
183.612493;434.3654133;140.1019731;1;1
207.2885449;341.5587587;156.4230494;1;1
187.1428733;569.1300916;158.2387033;1;1
178.6735543;616.4189989;126.2220275;1;1
163.875246;412.5381927;167.16404;1;1
334.8550983;591.725955;0.033094195;0;0
278.4574395;420.976072;0.000451783;0;0
164.4779242;416.2977654;202.6024469;1;1
